rf_dBm,wanted_unfiltered_W,carrier_to_wanted_unfiltered,wanted_at_cell_W,carrier_at_cell_W,other_sidebands_at_cell_W,carrier_to_wanted_at_cell,other_to_wanted_at_cell,cell_spectral_purity
9.5,0.00018580312520680574,7.813736154847979,2.3970317341655338e-06,3.1944411378664756e-08,2.903530049656673e-09,0.013326653512071837,0.0012113022987021338,0.985670367749666
9.75,0.0001954660246109867,7.321895831274717,2.5216920513162304e-06,3.149038420419261e-08,3.0676240762036486e-09,0.012487799288480044,0.001216494327529986,0.986480975071019
10.0,0.00020554601671008782,6.857646119557754,2.6517332490344604e-06,3.1014677400862276e-08,3.240492419744507e-09,0.011696002006293517,0.0012220280531325778,0.9872467172307434
10.25,0.0002160504595346935,6.419449112865809,2.7872502527031635e-06,3.051659598653456e-08,3.4225432324271454e-09,0.010948638701149494,0.0012279282167461836,0.9879699181784324
10.5,0.00022698532011911283,6.005853380249983,2.928320042570018e-06,2.999546712107174e-08,3.6141959730764777e-09,0.010243233896916008,0.001234221642626366,0.9886527816545154
10.75,0.00023835492058793347,5.615489173071239,3.0749983780297284e-06,2.9450647613073696e-08,3.815880648920362e-09,0.00957745143005372,0.0012409374509541517,0.9892973960505567
11.0,0.0002501616571238608,5.247063904819468,3.227316172049873e-06,2.8881532361913044e-08,4.0280368650481805e-09,0.008949086740258409,0.0012481072973057111,0.9899057390995041
11.25,0.0002624056901972486,4.899357889781432,3.3852754948460646e-06,2.828756380609096e-08,4.2511126572799486e-09,0.008356059602581104,0.0012557656426344277,0.9904796823839885
11.5,0.00027508460456498026,4.57122032695297,3.5488451875538324e-06,2.7668242448110242e-08,4.485563082043409e-09,0.007796407277822553,0.0012639500583949796,0.9910209956517015
11.75,0.0002881930377387429,4.261565516500989,3.717956069126595e-06,2.7023138523607406e-08,4.731848534746217e-09,0.007268278059551025,0.0012727015722533272,0.9915313509274334
12.0,0.00030172227589409943,3.969369296968068,3.892495723189878e-06,2.6351904877996395e-08,4.990432766030455e-09,0.00676992519760591,0.0012820650608039265,0.992012326411512
12.25,0.0003156598165579281,3.6936656922859568,4.072302856305829e-06,2.5654291106903134e-08,5.261780563259749e-09,0.006299701179439121,0.0012920896968927672,0.992465410154117
12.5,0.00032998889789069986,3.433543758531511,4.257161225280319e-06,2.4930159006680688e-08,5.546355062683057e-09,0.005856052352125595,0.001302829460568022,0.9928920034942164
12.75,0.0003446879949918426,3.188144621230307,4.446793139037435e-06,2.4179499367694502e-08,5.844614656030305e-09,0.005437513869360801,0.0013143437244070783,0.9932934242506336
13.0,0.00035973028442342253,2.956658694901379,4.640852550480958e-06,2.3402450125180267e-08,6.157009453931345e-09,0.00504270494927811,0.001326697926072497,0.9936709096509172
13.25,0.00037508307909411495,2.738323077455579,4.83891776597621e-06,2.2599315859552988e-08,6.483977267647074e-09,0.004670324430486322,0.0013399643435227893,0.99402561898116
13.5,0.0003907072367983677,2.5324191130285447,5.040483814959593e-06,2.177058860925764e-08,6.825939070324868e-09,0.004319146615379453,0.0013542229914648755,0.9943586359365741
13.75,0.0004065565470930009,2.338270117868853,5.244954540081072e-06,2.091696992370078e-08,7.1832938995446874e-09,0.003988017391543962,0.0013695626615352237,0.9946709706482779
14.0,0.00042257710284441955,2.1552392650414016,5.4516344895834055e-06,2.0039394040529387e-08,7.55641316455209e-09,0.003675850624031973,0.0013860821335308423,0.9949635613561898
14.25,0.00043870666472373257,1.9827276249811439,5.659720718702893e-06,1.9139052019527643e-08,7.945634324577852e-09,0.003381624813443794,0.0014038915910322249,0.9952372756908355
14.5,0.00045487402919309154,1.820172360388762,5.868294636110038e-06,1.8217416603658144e-08,8.351253909375113e-09,0.003104380017247066,0.001423114282297007,0.9954929115178663
14.75,0.00047099841314076767,1.6670450756580237,6.076314065134331e-06,1.727626750528253e-08,8.773519859984276e-09,0.002843215034656145,0.001443888476786678,0.9957311972876549
15.0,0.0004869888713067743,1.5228503230420736,6.282605728017299e-06,1.631771673141751e-08,9.212623177258605e-09,0.002597284858836295,0.0014663697796878903,0.9959527918177786
