contaminant_to_wanted_shot_weight_ratio,threshold_fano_for_sql_crossing,R_F_1,dB_F_1,R_F_2,dB_F_2,R_F_4p2565,dB_F_4p2565
0.1825,5.745205479452055,0.26765327695560254,-5.7242743505647535,0.4219873150105708,-3.747006037864593,0.7702420718816069,-1.13372763190561
0.185,5.681081081081081,0.26919831223628693,-5.699276672889415,0.4253164556962025,-3.7128781390059737,0.7775970464135021,-1.0924539768151689
0.1875,5.618666666666667,0.27073684210526316,-5.674526410366632,0.4286315789473684,-3.6791583596014545,0.7849210526315791,-1.0517402240210003
0.19,5.557894736842105,0.27226890756302524,-5.650019511859186,0.4319327731092437,-3.64583842397255,0.792214285714286,-1.0115733038546866
0.1925,5.498701298701299,0.2737945492662474,-5.625752021010587,0.4352201257861636,-3.612910298636936,0.7994769392033545,-0.9719405889857602
0.195,5.441025641025641,0.27531380753138074,-5.601720073341823,0.4384937238493724,-3.580366183004298,0.8067092050209206,-0.9328298747629522
0.1975,5.384810126582278,0.2768267223382046,-5.5779198934580885,0.44175365344467643,-3.5481985005141503,0.8139112734864302,-0.8942293606347551
0.2,5.33,0.2783333333333334,-5.554347792360604,0.44500000000000006,-3.5163998901906837,0.8210833333333335,-0.8561276325789726
0.2025,5.276543209876543,0.27983367983367985,-5.531000164858737,0.4482328482328482,-3.484963198591307,0.8282255717255719,-0.8185136464762108
0.20500000000000002,5.224390243902438,0.2813278008298755,-5.50787348707805,0.45145228215767635,-3.4538814721270725,0.8353381742738591,-0.7813767123671198
0.20750000000000002,5.1734939759036145,0.28281573498964807,-5.484964314059983,0.45465838509316775,-3.423147949734578,0.84242132505176,-0.74470647953762
0.21,5.123809523809524,0.284297520661157,-5.4622692774492,0.45785123966942154,-3.392756055880203,0.8494752066115705,-0.7084929223803973
0.2125,5.075294117647059,0.2857731958762887,-5.4397850832647565,0.4610309278350515,-3.3626993938787804,0.8565000000000003,-0.6727263269847057
0.215,5.027906976744186,0.2872427983539094,-5.417508509751512,0.46419753086419757,-3.332971739509887,0.8634958847736626,-0.6373972784099129
0.2175,4.981609195402299,0.2887063655030801,-5.395436405308292,0.46735112936344964,-3.3035670349160084,0.8704630390143737,-0.6024966486013844
0.22,4.9363636363636365,0.2901639344262295,-5.373565686489604,0.4704918032786886,-3.2744793827677467,0.8774016393442625,-0.568015584910212
0.2225,4.892134831460674,0.29161554192229044,-5.351893336077734,0.4736196319018405,-3.245703040682217,0.8843118609406957,-0.5339454991809246
0.225,4.848888888888888,0.2930612244897959,-5.3304164012223225,0.476734693877551,-3.2172324158815178,0.8911938775510206,-0.5002780573738048
0.2275,4.806593406593406,0.2945010183299389,-5.3091319916445645,0.4798370672097759,-3.1890620600790447,0.8980478615071285,-0.4670051696906929
0.23,4.765217391304348,0.2959349593495935,-5.288037277903419,0.4829268292682928,-3.161186664582043,0.9048739837398375,-0.4341189811752608
0.2325,4.724731182795699,0.29736308316430027,-5.267129489721207,0.48600405679513187,-3.1336010555995624,0.9116724137931036,-0.4016118627606529
0.23500000000000001,4.685106382978724,0.29878542510121453,-5.2464059143662425,0.4890688259109312,-3.106300189745527,0.9184433198380566,-0.36947640273919563
0.23750000000000002,4.646315789473684,0.30020202020202025,-5.2258638950901215,0.49212121212121207,-3.07927914972731,0.925186868686869,-0.33770539863051907
0.24,4.608333333333333,0.3016129032258065,-5.205500829617549,0.49516129032258066,-3.0525331402106737,0.9319032258064519,-0.30629184942599746
0.2425,4.5711340206185564,0.3030181086519115,-5.185314168686503,0.49818913480885313,-3.0260574838525174,0.9385925553319923,-0.2752289481887643
0.245,4.534693877551021,0.3044176706827309,-5.165301414636828,0.5012048192771084,-2.999847617493312,0.9452550200803214,-0.24451007498996774
0.2475,4.498989898989899,0.30581162324649297,-5.145460120045283,0.5042084168336673,-2.973899088501586,0.9518907815631263,-0.2141287901630693
0.25,4.464,0.30720000000000003,-5.125787886405256,0.5072,-2.9482075512632373,0.9585000000000001,-0.1840788278591854
0.2525,4.429702970297029,0.3085828343313373,-5.106282362849396,0.5101796407185629,-2.9227687638088313,0.9650828343313373,-0.1543540898874763
0.255,4.396078431372549,0.30996015936254984,-5.086941244913492,0.5131474103585658,-2.8975785845724475,0.9716394422310761,-0.12494863982559923
0.2575,4.363106796116504,0.31133200795228627,-5.067762273340028,0.51610337972167,-2.8726329692759576,0.9781699801192846,-0.09585669738616015
0.26,4.3307692307692305,0.3126984126984127,-5.048743232919888,0.5190476190476191,-2.8479279679329563,0.9846746031746034,-0.06707263302588996
