analysis_frequency_MHz,abs_chi_sc_s,abs_chi_sc_normalized,mean_field_probe_gain,mean_field_conjugate_gain,probe_gain_normalized,conjugate_gain_normalized
0.05,4.115979785000849e-11,1.0,405.6924156775448,408.07029663952756,1.0,1.0
0.09944444444444445,4.1176708309404336e-11,1.0004108489419086,407.0696362412448,409.4597297392784,1.0033947407209964,1.0034048866364271
0.1488888888888889,4.11936354658523e-11,1.0008221035479115,408.4514930838228,410.8538450355184,1.0068009095059618,1.006821247267722
0.1983333333333333,4.1210579345131065e-11,1.0012337644443159,409.8380012284415,412.25265772708843,1.0102185433858142,1.0102491191395275
0.24777777777777776,4.1227539973075075e-11,1.0016458322587842,411.2291757409336,413.6561830561586,1.01364767949665,1.0136885396036688
0.2972222222222222,4.1244517375574314e-11,1.0020583076203278,412.6250317298398,415.06443630827516,1.0170883550798377,1.0171395461182657
0.3466666666666666,4.1261511578575617e-11,1.0024711911593391,414.02558434655504,416.47743281249933,1.0205406074823782,1.020602176248075
0.3961111111111111,4.127852260808133e-11,1.0028844835075597,415.4308487853003,417.8951879413929,1.0240044741568348,1.0240764676644531
0.44555555555555554,4.129555049015088e-11,1.0032981852981175,416.84084028325555,419.31771711113953,1.0274799926616618,1.0275624581456548
0.495,4.131259525090044e-11,1.0037122971655197,418.2555741206247,420.7450357816249,1.0309672006613637,1.0310601855770298
0.5444444444444445,4.1329656916502266e-11,1.0041268197456352,419.6750656206141,422.17715945640776,1.034466135926443,1.0345696879509503
0.5938888888888889,4.1346735513186555e-11,1.0045417536757417,421.099330149633,423.61410368293,1.037976836333894,1.0380910033673272
0.6433333333333333,4.1363831067239516e-11,1.0049570995944768,422.52838311720524,425.05588405242776,1.0414993398669847,1.0416241700333915
0.6927777777777778,4.138094360500543e-11,1.0053728581418893,423.9622399761618,426.50251620012466,1.0450336846157322,1.0451692262641683
0.7422222222222222,4.139807315288616e-11,1.0057890299594272,425.40091622265743,427.9540158052516,1.0485799087769427,1.048726210482525
0.7916666666666667,4.1415219737340245e-11,1.0062056156899153,426.84442739615184,429.41039859103216,1.0521380506541667,1.0522951612191356
0.8411111111111111,4.1432383384885386e-11,1.0066226159776155,428.2927890796378,430.8716803249067,1.0557081486582596,1.05587611711303
0.8905555555555555,4.144956412209563e-11,1.0070400314681593,429.7460168995124,432.33787681842125,1.0592902413070648,1.0594691169113215
0.9400000000000001,4.146676197560442e-11,1.0074578628086208,431.20412652580717,433.80900392744144,1.0628843672259818,1.063074199469731
0.9894444444444445,4.148397697210303e-11,1.007876110647479,432.66713367214203,435.28507755211814,1.066490565147852,1.0666914037525035
1.038888888888889,4.1501209138340935e-11,1.0082947756346274,434.1350540957805,436.7661136369434,1.0701088739130946,1.0703207688325438
1.0883333333333334,4.1518458501126905e-11,1.0087138584214,435.6079035978084,438.25212817093626,1.0737393324701472,1.0739623338918738
1.1377777777777778,4.1535725087327364e-11,1.0091333596605307,437.0856980229776,439.74313718747953,1.0773819798750812,1.0776161382212301
1.1872222222222222,4.1553008923868855e-11,1.0095532800062157,438.5684532600042,441.2391567646267,1.0810368552923362,1.0812822212208186
1.2366666666666666,4.1570310037736564e-11,1.009973620114074,440.0561852414707,442.7402030250072,1.0847039979944786,1.0849606224000803
1.2861111111111112,4.1587628455974785e-11,1.0103943806411626,441.54890994389075,444.2462921358859,1.0883834473623626,1.0886513813778382
1.3355555555555556,4.160496420568757e-11,1.0108155622459887,443.04664338785597,445.7574403093284,1.0920752428854903,1.0923545378827024
1.385,4.162231731403818e-11,1.011237165588499,444.5494016379467,447.27366380208815,1.0957794241617929,1.0960701317527926
1.4344444444444444,4.163968780825038e-11,1.0116591913301098,446.0572008029654,448.794978915871,1.0994960308982054,1.0997982029363875
