temperature_C,density_m-3,density_cm-3,ground_collision_Hz,inherited_transit_floor_Hz,added_optical_fullwidth_Hz,added_optical_coherence_HWHM_Hz,sigma_velocity_m_s,one_photon_Doppler_FWHM_Hz
90.0,3.111366292914417e+18,3111366292914.417,400.3916752805922,100000.0,214684.27421109434,107342.13710554717,188.57108905571812,558569436.5263742
100.0,6.0157252737325e+18,6015725273732.5,784.7306041464731,100000.0,415085.0438875428,207542.5219437714,191.14978241055584,566207825.3239295
110.0,1.1229866337882941e+19,11229866337882.941,1484.3963394120851,100000.0,774860.7773139228,387430.3886569614,193.69414808802588,573744531.559749
121.0,2.149563741450344e+19,21495637414503.44,2881.853940419755,100000.0,1483198.9816007372,741599.4908003686,196.4548931950632,581922178.7619408
131.0,3.759115133795241e+19,37591151337952.414,5103.261132103853,100000.0,2593789.4423187156,1296894.7211593578,198.93141719755317,589257930.0880953
140.0,6.0712506122579255e+19,60712506122579.26,8333.413107900233,100000.0,4189162.922457968,2094581.461228984,201.13421903638348,595782884.6188035
150.0,1.0092077260007306e+20,100920772600073.06,14019.050874988625,100000.0,6963533.309405039,3481766.6547025195,203.5538202916348,602950024.1656557
